BTW_BUND 17;
Vorläufiges Ergebnis;
Nr;Gebiet;gehört zu;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;Christlich Demokratische Union Deutschlands;;;;Sozialdemokratische Partei Deutschlands;;;;DIE LINKE;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Christlich-Soziale Union in Bayern e.V.;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Piratenpartei Deutschland;;;;Nationaldemokratische Partei Deutschlands;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Ökologisch-Demokratische Partei;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Bayernpartei;;;;Ab jetzt...Demokratie durch Volksabstimmung;;;;Partei der Vernunft;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Bürgerrechtsbewegung Solidarität;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;DIE RECHTE;;;;Allianz Deutscher Demokraten;;;;Allianz für Menschenrechte, Tier- und Naturschutz;;;;bergpartei, die überpartei;;;;Bündnis Grundeinkommen;;;;DEMOKRATIE IN BEWEGUNG;;;;Deutsche Kommunistische Partei;;;;Deutsche Mitte;;;;Die Grauen – Für alle Generationen;;;;Die Urbane. Eine HipHop Partei;;;;Madgeburger Gartenpartei;;;;Menschliche Welt;;;;Partei der Humanisten;;;;Partei für Gesundheitsforschung;;;;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;;;;Bündnis C - Christen für Deutschland;;;;DIE EINHEIT;;;;Die Violetten;;;;Familien-Partei Deutschlands;;;;Feministische Partei DIE FRAUEN;;;;Mieterpartei;;;;Neue Liberale – Die Sozialliberalen;;;;UNABHÄNGIGE für bürgernahe Demokratie;;;;Übrige;;;;
62;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;12;246970;246970;246970;246970;174159;174159;174159;174159;10224;3562;8174;3102;163935;170597;165985;171057;63650;63650;59845;59845;46319;46319;38793;38793;36755;36755;36799;36799;6572;6572;7727;7727;;;;;2153;2153;4784;4784;0;0;10887;10887;4483;4483;;;;;4548;4548;3670;3670;2419;2419;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;183;183;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;333;333;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6662;;5072;
63;Frankfurt (Oder) – Oder-Spree;12;199341;199341;199341;199341;135293;135293;135293;135293;3167;3167;6274;2463;132126;132126;129019;132830;44822;44822;44301;44301;32291;32291;29631;29631;37008;37008;32862;32862;5192;5192;5266;5266;;;;;2252;2252;2922;2922;0;0;8562;8562;4977;4977;;;5584;5584;4058;4058;0;0;1219;1219;;;0;0;;;0;0;0;0;0;0;;;;;;;;;;;;;0;0;198;198;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3811;
64;Cottbus – Spree-Neiße;12;187157;187157;187157;187157;125920;125920;125920;125920;20506;2689;5551;2207;105414;123231;120369;123713;44301;44301;44230;44230;29510;29510;26863;26863;24681;24681;27965;27965;3278;3278;4382;4382;;;;;2498;2498;2984;2984;0;0;8555;8555;;;;;;;3897;3897;;;1355;1355;;;0;0;;;0;0;901;901;0;0;;;;;;;;;;;;;;;138;138;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;245;245;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17817;;3344;
65;Elbe-Elster – Oberspreewald-Lausitz II;12;177689;177689;177689;177689;118680;118680;118680;118680;12973;2668;5518;2165;105707;116012;113162;116515;47454;47454;46044;46044;26132;26132;23136;23136;27137;27137;25321;25321;2899;2899;3104;3104;;;;;2085;2085;2950;2950;0;0;6911;6911;;;;;;;4421;4421;0;0;1122;1122;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;153;153;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10305;;3353;
12;Brandenburg;99;2065944;2065944;2065944;2065944;1412785;1412785;1412785;1412785;107451;29140;63501;24423;1305334;1383645;1349284;1388362;492236;492236;482601;482601;367713;367713;321174;321174;330627;330627;311312;311312;53549;53549;65182;65182;;;;;21252;21252;35365;35365;0;0;83075;83075;22750;39472;;;5584;46702;35578;35578;9860;9860;13416;13416;;;0;0;;;0;0;901;901;0;0;;;;;;;;;;;;;0;0;1581;1581;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;862;1207;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20126;;39078;
;
66;Altmark;15;172378;172378;172378;172378;107895;107895;107895;107895;7011;1857;4128;1678;100884;106038;103767;106217;44686;44686;44655;44655;18616;18616;20196;20196;32164;32164;26180;26180;2998;2998;3542;3542;;;;;1489;1489;2278;2278;0;0;3826;3826;;;;;;;2227;2227;931;931;722;722;;;;;;;;;;;0;0;;;;;;;;;;;;;;;141;141;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5154;;2450;
67;Börde – Jerichower Land;15;228139;228139;228139;228139;141814;141814;141814;141814;7896;2976;5734;2488;133918;138838;136080;139326;61890;61890;60207;60207;32118;32118;27279;27279;29759;29759;30235;30235;3611;3611;4281;4281;;;;;3686;3686;3995;3995;;;5380;5380;;;;;0;0;2903;2903;2854;2854;1630;1630;;;;;;;;;;;0;0;;;;;;;;;;;;;;;170;170;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4920;;3246;
68;Harz;15;224917;224917;224917;224917;132539;132539;132539;132539;10134;2595;5321;2340;122405;129944;127218;130199;59779;59779;56619;56619;24875;24875;24407;24407;29860;29860;29875;29875;4928;4928;4716;4716;;;;;1852;1852;2961;2961;0;0;4924;4924;;;;;;;2651;2651;1111;1111;929;929;;;;;;;;;;;0;0;;;;;;;;;;;;;0;0;136;136;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7539;;2981;
69;Magdeburg;15;244267;244267;244267;244267;154404;154404;154404;154404;9747;2836;6846;2378;144657;151568;147558;152026;55046;55046;56982;56982;38153;38153;31763;31763;38231;38231;36473;36473;6073;6073;8490;8490;;;;;2090;2090;3687;3687;0;0;6355;6355;;;;;2786;2786;2272;2272;1875;1875;1256;1256;;;;;;;;;;;0;0;;;;;;;;;;;;;403;403;280;280;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6911;;4468;
70;Dessau – Wittenberg;15;185954;185954;185954;185954;120805;120805;120805;120805;3889;1836;4390;1758;116916;118969;116415;119047;53048;53048;50633;50633;20545;20545;20354;20354;26015;26015;27136;27136;5196;5196;4703;4703;;;;;1489;1489;2892;2892;5575;5575;6050;6050;;;;;2814;2814;2799;2799;2234;2234;1728;1728;;;;;;;;;;;0;0;;;;;;;;;;;;;;;120;120;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2053;;2632;
71;Anhalt;15;236732;236732;236732;236732;140667;140667;140667;140667;4434;2714;5251;2498;136233;137953;135416;138169;56514;56514;57357;57357;21244;21244;23224;23224;39715;39715;35425;35425;2884;2884;3572;3572;;;;;2778;2778;3556;3556;6314;6314;6635;6635;;;;;3450;3450;3516;3516;2945;2945;1848;1848;;;;;;;;;;;0;0;;;;;;;;;;;;;389;389;283;283;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1720;;2753;
72;Halle;15;219667;219667;219667;219667;143332;143332;143332;143332;8395;2185;6279;2042;134937;141147;137053;141290;51206;51206;53265;53265;32957;32957;25259;25259;36006;36006;34449;34449;5286;5286;10185;10185;;;;;2958;2958;4418;4418;4768;4768;5879;5879;;;;;;;2134;2134;1307;1307;1147;1147;;;;;;;;;0;0;0;0;;;;;;;;;;;;;449;449;317;317;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6210;;4237;
73;Burgenland – Saalekreis;15;201043;201043;201043;201043;123809;123809;123809;123809;5100;2170;4726;1962;118709;121639;119083;121847;54544;54544;52194;52194;18791;18791;19850;19850;31300;31300;28933;28933;4760;4760;3732;3732;;;;;1879;1879;3374;3374;0;0;5234;5234;;;;;4854;4854;3920;3920;2581;2581;1695;1695;;;;;;;;;;;0;0;;;;;;;;;;;;;;;151;151;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2930;;2764;
74;Mansfeld;15;217783;217783;217783;217783;132983;132983;132983;132983;8808;2572;5169;2289;124175;130411;127814;130694;54705;54705;53869;53869;23560;23560;22399;22399;35982;35982;33613;33613;3193;3193;3637;3637;;;;;2458;2458;3837;3837;0;0;5378;5378;;;;;4277;4277;3478;3478;;;1403;1403;;;;;;;;;;;0;0;;;;;;;;;;;;;;;200;200;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6236;;2880;
15;Sachsen-Anhalt;99;1930880;1930880;1930880;1930880;1198248;1198248;1198248;1198248;65414;21741;47844;19433;1132834;1176507;1150404;1178815;491418;491418;485781;485781;230859;230859;214731;214731;299032;299032;282319;282319;38929;38929;46858;46858;;;;;20679;20679;30998;30998;16657;16657;49661;49661;;;;;18181;26085;25900;25900;15838;18070;12358;12358;;;;;;;;;0;0;0;0;;;;;;;;;;;;;1241;1241;1798;1798;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33537;;28411;
;
75;Berlin-Mitte;11;204085;204085;204085;204085;141574;141574;141574;141574;11248;2282;4371;2174;130326;139292;137203;139400;33265;33265;31544;31544;39360;39360;36403;36403;23200;23200;26068;26068;25687;25687;23329;23329;;;;;2088;2088;5134;5134;4212;4212;5443;5443;;;6608;6608;;;;;239;239;304;304;;;0;0;0;0;319;319;1856;1856;1686;1686;;;;;;;;;;;;;202;202;145;145;217;217;144;144;0;0;76;76;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8966;;2197;
76;Berlin-Pankow;11;235344;235344;235344;235344;175061;175061;175061;175061;11146;2414;5606;2237;163915;172647;169455;172824;41295;41295;40617;40617;36180;36180;38030;38030;48926;48926;43472;43472;25442;25442;24300;24300;;;;;1581;1581;4380;4380;7088;7088;8372;8372;;;6767;6767;;;;;861;861;665;665;;;0;0;0;0;416;416;2220;2220;1984;1984;;;;;;;;;;;;;;;146;146;322;322;182;182;;;124;124;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8732;;3369;
77;Berlin-Reinickendorf;11;182934;182934;182934;182934;133484;133484;133484;133484;9426;2603;5372;2428;124058;130881;128112;131056;58845;58845;52545;52545;38593;38593;34571;34571;8508;8508;10394;10394;8790;8790;11427;11427;;;;;2605;2605;5708;5708;5852;5852;7906;7906;;;3417;3417;;;;;;;661;661;;;0;0;;;240;240;865;865;1074;1074;;;;;;;;;;;;;;;44;44;0;0;75;75;;;50;50;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;0;0;0;0;;;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6823;;2944;
78;Berlin-Spandau – Charlottenburg Nord;11;187363;187363;187363;187363;130485;130485;130485;130485;10152;2722;5718;2639;120333;127763;124767;127846;50071;50071;46757;46757;47790;47790;36932;36932;9199;9199;12146;12146;5942;5942;10542;10542;;;;;1788;1788;4856;4856;5543;5543;7458;7458;;;3960;3960;;;;;;;550;550;;;0;0;0;0;224;224;0;0;1038;1038;;;;;;;;;;;;;0;0;85;85;;;164;164;;;55;55;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7430;;3079;
79;Berlin-Steglitz-Zehlendorf;11;220007;220007;220007;220007;175539;175539;175539;175539;8538;2559;3778;2102;167001;172980;171761;173437;73460;73460;64500;64500;50540;50540;44371;44371;9102;9102;12426;12426;20416;20416;23487;23487;;;;;4605;4605;11057;11057;7321;7321;9257;9257;;;4358;4358;;;;;;;552;552;;;0;0;;;353;353;1276;1276;1155;1155;;;;;;;;;;;;;;;55;55;281;281;140;140;;;50;50;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;5979;;1676;
80;Berlin-Charlottenburg-Wilmersdorf;11;197797;197797;197797;197797;153420;153420;153420;153420;7490;2086;2933;1755;145930;151334;150487;151665;56079;56079;49285;49285;47619;47619;41058;41058;9368;9368;13446;13446;22176;22176;23324;23324;;;;;3801;3801;10347;10347;5649;5649;7276;7276;;;3872;3872;;;;;;;457;457;;;0;0;;;242;242;1057;1057;976;976;;;;;;;;;;;;;;;45;45;181;181;120;120;;;39;39;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5404;;1178;
81;Berlin-Tempelhof-Schöneberg;11;235259;235259;235259;235259;177205;177205;177205;177205;6307;3046;5534;2773;170898;174159;171671;174432;60926;60926;55275;55275;45659;45659;47834;47834;12801;12801;17937;17937;35461;35461;26941;26941;;;;;2585;2585;7134;7134;6391;6391;7988;7988;5233;5233;5526;5526;;;;;;;759;759;;;0;0;;;342;342;1494;1494;1578;1578;;;;;;;;;;;;;;;73;73;348;348;221;221;0;0;63;63;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;;;0;0;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3261;;2761;
82;Berlin-Neukölln;11;205635;205635;205635;205635;140825;140825;140825;140825;9990;3102;6782;2868;130835;137723;134043;137957;42092;42092;40038;40038;44528;44528;36211;36211;16144;16144;19677;19677;16126;16126;19156;19156;;;;;1861;1861;4122;4122;4140;4140;5832;5832;;;5654;5654;3094;3094;;;;;689;689;;;0;0;;;255;255;2420;2420;2060;2060;;;;;;;;;;;;;208;208;143;143;222;222;126;126;;;80;80;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;0;0;0;0;;;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;6888;;3914;
83;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;11;226240;226240;226240;226240;168048;168048;168048;168048;12252;2317;4451;2358;155796;165731;163597;165690;22723;22723;25474;25474;29799;29799;39784;39784;28441;28441;41639;41639;66056;66056;34420;34420;;;;;1647;1647;3579;3579;3325;3325;4623;4623;;;9612;9612;;;;;515;515;477;477;;;0;0;;;426;426;2666;2666;3142;3142;;;;;;;;;;;;;0;0;209;209;;;86;86;;;126;126;;;;;;;;;;;;;624;624;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;0;0;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9935;;2093;
84;Berlin-Treptow-Köpenick;11;201629;201629;201629;201629;148406;148406;148406;148406;6392;2187;6759;2125;142014;146219;141647;146281;33036;33036;37170;37170;26093;26093;31204;31204;61661;61661;43118;43118;7344;7344;10787;10787;;;;;1429;1429;2904;2904;5788;5788;8106;8106;;;5176;5176;4039;4039;;;855;855;894;894;;;0;0;;;328;328;1343;1343;1487;1487;;;;;;;;;;;;;208;208;191;191;218;218;199;199;;;83;83;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4205;;4634;
85;Berlin-Marzahn-Hellersdorf;11;203968;203968;203968;203968;132817;132817;132817;132817;8445;2078;8618;2085;124372;130739;124199;130732;33552;33552;33947;33947;22341;22341;25103;25103;50866;50866;43026;43026;4071;4071;5068;5068;;;;;938;938;2278;2278;6347;6347;8319;8319;;;3996;3996;5540;5540;;;717;717;752;752;;;0;0;;;202;202;;;1114;1114;;;;;;;;;;;;;;;111;111;;;181;181;;;102;102;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;0;0;0;0;;;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;6367;;6533;
86;Berlin-Lichtenberg;11;205457;205457;205457;205457;138551;138551;138551;138551;4706;2259;6524;2150;133845;136292;132027;136401;30988;30988;31491;31491;26636;26636;27886;27886;54932;54932;47158;47158;5748;5748;7956;7956;;;;;939;939;2117;2117;5827;5827;7480;7480;4917;4917;5072;5072;3858;3858;;;;;771;771;;;0;0;;;265;265;0;0;1379;1379;;;;;;;;;;;;;0;0;163;163;;;172;172;;;117;117;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;0;0;;;;;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2447;;4374;
995;Berlin-West;11;0;0;0;0;0;0;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;0;0;;;0;0;;;0;0;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
996;Berlin-Ost;11;0;0;0;0;0;0;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;0;0;;;0;0;;;0;0;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Berlin;99;2505718;2505718;2505718;2505718;1815415;1815415;1815415;1815415;106092;29655;66446;27694;1709323;1785760;1748969;1787721;536332;536332;508643;508643;455138;455138;439387;439387;333148;333148;330507;330507;243259;243259;220737;220737;;;;;25867;25867;63616;63616;67483;67483;88060;88060;10150;56911;64018;64018;16531;30041;;;3187;8138;7531;7531;;;0;0;0;0;3612;3612;15197;16057;18673;18673;;;;;;;;;;;;;618;618;1410;1410;1789;2637;1810;1810;0;0;965;965;;;;;;;;;;;;;624;624;0;0;;;0;0;;;0;0;;;0;0;;;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;;;;;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;9507;;38752;
;
87;Aachen I;5;179933;179933;179933;179933;134447;134447;134447;134447;2824;1476;1955;1213;131623;132971;132492;133234;54175;54175;48728;48728;46907;46907;36432;36432;8225;8225;10212;10212;11931;11931;17485;17485;;;;;2883;2883;8401;8401;2961;2961;4149;4149;4541;4541;4669;4669;;;680;680;;;555;555;;;0;0;0;0;221;221;;;784;784;;;;;;;137;137;;;;;;;25;25;;;;;;;14;14;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1348;;742;
88;Aachen II;5;228375;228375;228375;228375;164576;164576;164576;164576;6436;3027;4022;2308;158140;161549;160554;162268;73621;73621;66328;66328;57635;57635;52897;52897;9418;9418;10538;10538;9096;9096;10220;10220;;;;;3827;3827;7948;7948;0;0;5337;5337;4543;4543;3712;3712;;;1697;1697;;;551;551;;;0;0;0;0;213;213;;;719;719;;;;;;;338;338;;;;;;;26;26;;;;;;;30;30;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3409;;1714;
89;Heinsberg;5;188266;188266;188266;188266;134521;134521;134521;134521;3923;2205;2886;1882;130598;132316;131635;132639;70649;70649;65417;65417;37444;37444;34895;34895;5720;5720;6915;6915;7511;7511;7336;7336;;;;;2921;2921;6543;6543;3043;3043;4652;4652;3310;3310;3019;3019;;;1427;1427;0;0;437;437;;;0;0;;;145;145;;;556;556;;;;;;;231;231;;;;;;;18;18;;;;;;;44;44;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1718;;1004;
90;Düren;5;199550;199550;199550;199550;145541;145541;145541;145541;2961;2765;3146;2070;142580;142776;142395;143471;71903;71903;63532;63532;48849;48849;42549;42549;7288;7288;8120;8120;6951;6951;8729;8729;;;;;2722;2722;7102;7102;0;0;5732;5732;4867;4867;3478;3478;;;1565;1565;0;0;344;344;;;0;0;;;148;148;;;652;652;;;;;;;373;373;;;;;;;31;31;;;;;;;40;40;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;196;;1076;
91;Rhein-Erft-Kreis I;5;247721;247721;247721;247721;182970;182970;182970;182970;6195;6195;6172;4235;176775;176775;176798;178735;83598;83598;75521;75521;63676;63676;55089;55089;7820;7820;9266;9266;9822;9822;12264;12264;;;;;5390;5390;10235;10235;0;0;6660;6660;6469;6469;3865;3865;;;1769;1769;;;747;747;;;0;0;;;221;221;;;691;691;;;;;;;407;407;;;;;;;19;19;;;;;;;44;44;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1937;
92;Euskirchen – Rhein-Erft-Kreis II;5;245268;245268;245268;245268;178218;178218;178218;178218;11423;3940;4148;2747;166795;174278;174070;175471;88759;88759;79055;79055;53703;53703;46982;46982;8166;8166;9075;9075;10066;10066;12544;12544;;;;;6101;6101;11611;11611;0;0;7183;7183;;;3826;3826;;;1702;1702;;;576;576;;;0;0;;;213;213;;;762;762;;;;;;;473;473;;;;;;;35;35;;;;;;;33;33;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7483;;1401;
93;Köln I;5;191277;191277;191277;191277;132837;132837;132837;132837;6749;1445;2579;1235;126088;131392;130258;131602;48232;48232;43863;43863;48632;48632;40759;40759;8583;8583;10709;10709;13513;13513;16056;16056;;;;;3243;3243;7235;7235;3885;3885;5367;5367;;;3501;3501;;;1032;1032;;;337;337;;;0;0;;;204;204;0;0;883;883;;;;;;;208;208;;;;;0;0;73;73;;;;;;;31;31;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5304;;1344;
94;Köln II;5;233118;233118;233118;233118;184162;184162;184162;184162;6628;1478;2184;1143;177534;182684;181978;183019;73011;73011;64909;64909;59975;59975;48190;48190;9521;9521;12689;12689;26426;26426;28642;28642;;;;;4762;4762;14871;14871;3839;3839;5955;5955;;;4072;4072;;;596;596;;;403;403;;;0;0;;;328;328;0;0;1030;1030;;;;;;;213;213;;;;;0;0;43;43;;;;;;;37;37;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5150;;1041;
95;Köln III;5;201922;201922;201922;201922;141714;141714;141714;141714;8607;1765;2961;1368;133107;139949;138753;140346;45999;45999;42902;42902;55021;55021;44240;44240;10883;10883;12960;12960;18046;18046;20905;20905;;;;;3158;3158;6339;6339;0;0;4513;4513;;;3789;3789;;;1057;1057;;;405;405;;;0;0;;;263;263;0;0;1041;1041;;;;;;;248;248;;;;;0;0;57;57;;;;;;;34;34;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6842;;1593;
96;Bonn;5;226487;226487;226487;226487;175014;175014;175014;175014;2143;2143;3620;1775;172871;172871;171394;173239;64778;64778;62844;62844;65955;65955;44909;44909;7523;7523;10988;10988;14797;14797;23686;23686;;;;;10416;10416;14418;14418;4382;4382;7389;7389;4113;4113;4418;4418;;;801;801;0;0;309;309;;;0;0;;;293;293;907;907;1079;1079;;;;;;;197;197;;;;;;;42;42;;;;;;;21;21;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1845;
