BTW_BUND 17;
Vorläufiges Ergebnis;
Nr;Gebiet;gehört zu;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;Christlich Demokratische Union Deutschlands;;;;Sozialdemokratische Partei Deutschlands;;;;DIE LINKE;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Christlich-Soziale Union in Bayern e.V.;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Piratenpartei Deutschland;;;;Nationaldemokratische Partei Deutschlands;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Ökologisch-Demokratische Partei;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Bayernpartei;;;;Ab jetzt...Demokratie durch Volksabstimmung;;;;Partei der Vernunft;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Bürgerrechtsbewegung Solidarität;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;DIE RECHTE;;;;Allianz Deutscher Demokraten;;;;Allianz für Menschenrechte, Tier- und Naturschutz;;;;bergpartei, die überpartei;;;;Bündnis Grundeinkommen;;;;DEMOKRATIE IN BEWEGUNG;;;;Deutsche Kommunistische Partei;;;;Deutsche Mitte;;;;Die Grauen – Für alle Generationen;;;;Die Urbane. Eine HipHop Partei;;;;Madgeburger Gartenpartei;;;;Menschliche Welt;;;;Partei der Humanisten;;;;Partei für Gesundheitsforschung;;;;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;;;;Bündnis C - Christen für Deutschland;;;;DIE EINHEIT;;;;Die Violetten;;;;Familien-Partei Deutschlands;;;;Feministische Partei DIE FRAUEN;;;;Mieterpartei;;;;Neue Liberale – Die Sozialliberalen;;;;UNABHÄNGIGE für bürgernahe Demokratie;;;;Übrige;;;;
17;Mecklenburgische Seenplatte II – Landkreis Rostock III;13;218688;218688;218688;218688;136837;136837;136837;136837;5848;3195;5360;2868;130989;133642;131477;133969;62852;62852;60407;60407;25029;25029;22981;22981;30284;30284;28819;28819;4083;4083;4474;4474;;;;;1983;1983;2771;2771;0;0;6806;6806;;;;;4243;4243;3584;3584;2024;2024;1402;1402;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;491;491;233;233;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2653;;2492;
13;Mecklenburg-Vorpommern;99;1350705;1350705;1350705;1350705;881718;881718;881718;881718;43190;15974;32894;13975;838528;865744;848824;867743;384607;384607;369048;369048;165660;165660;154431;154431;204479;204479;186871;186871;33232;33232;37716;37716;;;;;11891;11891;18968;18968;0;0;48885;48885;;;;;25910;29218;23735;23735;11713;11713;8004;8004;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;1036;1036;1166;1166;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23908;;18919;
;
18;Hamburg-Mitte;2;240554;240554;240554;240554;156683;156683;156683;156683;8416;2306;8848;2114;148267;154377;147835;154569;43120;43120;41422;41422;60537;60537;51971;51971;14821;14821;17071;17071;18529;18529;21043;21043;;;;;2640;2640;5940;5940;5135;5135;6707;6707;;;;;1185;1185;1189;1189;648;648;557;557;;;0;0;0;0;389;389;1652;1652;1459;1459;;;;;;;;;;;;;0;0;87;87;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6110;;6734;
19;Hamburg-Altona;2;182776;182776;182776;182776;135857;135857;135857;135857;5479;1454;5443;1393;130378;134403;130414;134464;43609;43609;39581;39581;46918;46918;40009;40009;13759;13759;14525;14525;18380;18380;22167;22167;;;;;2627;2627;7353;7353;3094;3094;4321;4321;;;;;;;528;528;497;497;384;384;;;0;0;;;334;334;1359;1359;1089;1089;;;;;;;;;;;;;135;135;123;123;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4025;;4050;
20;Hamburg-Eimsbüttel;2;189772;189772;189772;189772;143084;143084;143084;143084;7442;1646;5720;1444;135642;141438;137364;141640;47112;47112;43989;43989;53105;53105;44492;44492;9728;9728;12137;12137;18399;18399;22074;22074;;;;;3264;3264;7308;7308;4034;4034;5197;5197;;;;;;;551;551;;;397;397;;;0;0;0;0;293;293;;;870;870;;;;;;;;;;;;;0;0;56;56;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5796;;4276;
21;Hamburg-Nord;2;211824;211824;211824;211824;163950;163950;163950;163950;5835;1666;5735;1512;158115;162284;158215;162438;64459;64459;59244;59244;56421;56421;49039;49039;7626;7626;10615;10615;19343;19343;20357;20357;;;;;3921;3921;10242;10242;5708;5708;6721;6721;;;;;;;588;588;637;637;392;392;;;0;0;;;297;297;;;681;681;;;;;;;;;;;;;;;39;39;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4169;;4223;
22;Hamburg-Wandsbek;2;235105;235105;235105;235105;158935;158935;158935;158935;5865;2099;6661;1933;153070;156836;152274;157002;57635;57635;54166;54166;62489;62489;54089;54089;10466;10466;12131;12131;10734;10734;14269;14269;;;;;3021;3021;7074;7074;6416;6416;7572;7572;;;;;1434;1434;1404;1404;789;789;592;592;;;0;0;;;257;257;86;86;678;678;;;;;;;;;;;;;;;42;42;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3766;;4728;
23;Hamburg-Bergedorf – Harburg;2;221887;221887;221887;221887;142704;142704;142704;142704;5618;2089;6301;1988;137086;140615;136403;140716;50044;50044;47525;47525;56867;56867;49302;49302;10595;10595;11817;11817;9088;9088;12916;12916;;;;;2234;2234;4952;4952;5448;5448;6624;6624;;;;;1446;1446;1398;1398;727;727;534;534;;;0;0;637;637;393;393;;;866;866;;;;;;;;;;;;;0;0;76;76;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3529;;4313;
2;Hamburg;99;1281918;1281918;1281918;1281918;901213;901213;901213;901213;38655;11260;38708;10384;862558;889953;862505;890829;305979;305979;285927;285927;336337;336337;288902;288902;66995;66995;78296;78296;94473;94473;112826;112826;;;;;17707;17707;42869;42869;29835;29835;37142;37142;;;;;4065;5738;5658;5658;3298;3725;2856;2856;;;0;0;637;637;1963;1963;3097;3097;5643;5643;;;;;;;;;;;;;135;135;423;423;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25295;;28324;
