Nr;Gebiet;gehört;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;FDP;DIE LINKE;GRÜNE;CSU;PIRATEN;NPD;Tierschutzpartei;REP;ÖDP;FAMILIE;Bündnis 21/RRP;RENTNER;BP;PBC;BüSo;DIE VIOLETTEN;MLPD;Volksabstimmung;PSG;AfD;BIG;pro Deutschland;DIE RECHTE;DIE FRAUEN;FREIE WÄHLER;Nichtwähler;PARTEI DER VERNUNFT;Die PARTEI;B;BGD;DKP;NEIN!;Übrige
103;Solingen - Remscheid - Wuppertal II;5;226117;160929;2357;158572;62029;48123;9650;10740;12676;;3901;1590;;345;216;;74;;;;32;;177;320;36;6853;263;500;25;;347;200;138;786;;;;;
104;Mettmann I;5;205564;154473;1800;152673;65696;43173;9660;7808;11699;;3243;1273;;283;229;;96;;;;45;;26;273;30;7764;148;328;47;;305;199;101;457;;;;;
105;Mettmann II;5;165493;123036;1657;121379;50254;37580;7421;6646;8408;;2655;1097;;197;147;;55;;;;26;;31;212;21;5730;96;245;39;;197;176;74;347;;;;;
106;Düsseldorf I;5;218889;165028;1635;163393;65978;43269;14985;10505;15445;;3458;770;;379;182;;63;;;;33;;81;202;28;6891;126;201;21;;241;187;89;541;;;;;
107;Düsseldorf II;5;196250;139390;1983;137407;51050;41737;7979;10705;13399;;3509;1048;;550;188;;65;;;;81;;61;245;35;5845;154;283;18;;256;193;85;556;;;;;
108;Neuss I;5;214614;154444;1878;152566;69480;42604;9418;7606;9363;;3666;1503;;226;187;;92;;;;43;;39;297;39;6276;201;358;26;;646;168;107;464;;;;;
109;Mönchengladbach;5;192676;127559;1953;125606;55030;35447;7414;8080;7792;;3149;1339;;145;158;;45;;;;20;;30;199;23;5255;124;310;20;;316;179;123;744;;;;;
110;Krefeld I - Neuss II;5;202204;150999;1858;149141;66802;40968;10901;7768;10303;;3173;1192;;155;165;;77;;;;34;;42;301;34;5753;156;289;24;;457;150;80;596;;;;;
111;Viersen;5;227631;167490;1886;165604;76747;44103;10493;8897;11106;;3464;1557;;145;204;;99;;;;37;;32;355;43;6806;105;303;20;;457;159;113;552;;;;;
112;Kleve;5;225823;161873;2383;159490;77833;43253;9094;7322;9856;;3212;1293;;115;198;;94;;;;24;;31;280;23;6300;47;306;30;;234;137;101;377;;;;;
113;Wesel I;5;207485;153981;1736;152245;59970;53249;7224;9091;9780;;3154;1646;;229;158;;243;;;;25;;36;256;28;5678;84;346;39;;295;179;116;643;;;;;
114;Krefeld II - Wesel II;5;182593;131185;1948;129237;47806;44856;7237;8546;9485;;2739;1463;;166;126;;74;;;;30;;110;222;27;5085;143;404;26;;402;109;106;534;;;;;
115;Duisburg I;5;171223;121815;2161;119654;36109;47165;4044;9475;8341;;2897;2748;;318;156;;76;;;;36;;181;267;43;6211;336;857;63;;207;177;91;517;;;;;
116;Duisburg II;5;166103;105682;2063;103619;27665;44727;2891;9160;5376;;2449;3507;;299;75;;115;;;;32;;228;248;52;5349;335;845;77;;143;122;72;365;;;;;
117;Oberhausen - Wesel III;5;208991;147679;2469;145210;43882;60222;4802;11732;9604;;3579;2938;;234;167;;104;;;;49;;92;293;47;6145;155;641;47;;225;168;116;525;;;;;
118;Mülheim - Essen I;5;191475;140961;1796;139165;47247;53275;6388;8968;9837;;2858;2029;;227;142;;77;;;;41;;108;217;42;6404;209;469;53;;167;151;78;491;;;;;
119;Essen II;5;167962;108599;1614;106985;30540;44684;3627;8716;7616;;2733;2014;;370;88;;51;;;;81;;168;191;21;4556;231;385;28;;212;153;92;723;;;;;
120;Essen III;5;195692;151040;1551;149489;54310;49626;8581;9855;14550;;3087;1294;;215;186;;60;;;;91;;100;190;32;5812;140;326;21;;236;205;98;757;;;;;
121;Recklinghausen I;5;172167;122346;1801;120545;40898;48070;4100;8244;7716;;2661;1530;;204;152;;85;;;;21;;86;217;37;5464;162;402;41;;185;163;79;410;;;;;
