Nr;Gebiet;gehört;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;FDP;DIE LINKE;GRÜNE;CSU;PIRATEN;NPD;Tierschutzpartei;REP;ÖDP;FAMILIE;Bündnis 21/RRP;RENTNER;BP;PBC;BüSo;DIE VIOLETTEN;MLPD;Volksabstimmung;PSG;AfD;BIG;pro Deutschland;DIE RECHTE;DIE FRAUEN;FREIE WÄHLER;Nichtwähler;PARTEI DER VERNUNFT;Die PARTEI;B;BGD;DKP;NEIN!;Übrige
909;Bayern;99;9472738;6633726;62423;6571303;;1314009;334158;248920;552818;3243569;127934;56737;46937;27457;68365;;3032;;57395;;1375;8211;1757;;;283570;;4874;;12148;180649;;6840;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
296;Saarbrücken;10;204905;142400;3349;139051;46513;43329;6246;16268;10910;;4110;2582;;;;1560;;;;;;;160;;;6575;;233;;;849;;;;;;;;
297;Saarlouis;10;211529;154287;4360;149927;60052;46037;5480;13458;7873;;3739;2610;;;;1653;;;;;;;71;;;7645;;237;;;1075;;;;;;;;
298;St. Wendel;10;181521;138097;4041;134056;54911;40861;4514;12139;6088;;3391;2062;;;;1858;;;;;;;58;;;7287;;214;;;810;;;;;;;;
299;Homburg;10;198117;142644;3729;138915;50892;44365;5266;14180;7127;;3453;2437;;;;2378;;;;;;;72;;;7784;;218;;;930;;;;;;;;
910;Saarland;99;796072;577428;15479;561949;212368;174592;21506;56045;31998;;14693;9691;;;;7449;;;;;;;361;;;29291;;902;;;3664;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;Berlin-Mitte;11;204085;141574;2282;139292;31544;36403;5134;26068;23329;;6608;1234;;198;319;;;;;;144;;145;;76;5443;473;292;;;304;;;1686;;;;;
76;Berlin-Pankow;11;235344;175061;2414;172647;40617;38030;4380;43472;24300;;6767;2597;;231;416;;;;;;182;;146;;124;8372;84;457;;;665;;;1984;;;;;
77;Berlin-Reinickendorf;11;182934;133484;2603;130881;52545;34571;5708;10394;11427;;3417;1976;;310;240;;;;;;75;;44;;50;7906;209;449;;;661;;;1074;;;;;
78;Berlin-Spandau - Charlottenburg Nord;11;187363;130485;2722;127763;46757;36932;4856;12146;10542;;3960;1815;;310;224;;;;;;164;;85;;55;7458;460;494;;;550;;;1038;;;;;
79;Berlin-Steglitz - Zehlendorf;11;220007;175539;2559;172980;64500;44371;11057;12426;23487;;4358;1016;;169;353;;;;;;140;;55;;50;9257;160;331;;;552;;;1155;;;;;
80;Berlin-Charlottenburg - Wilmersdorf;11;197797;153420;2086;151334;49285;41058;10347;13446;23324;;3872;639;;114;242;;;;;;120;;45;;39;7276;205;220;;;457;;;976;;;;;
81;Berlin-Tempelhof - Schöneberg;11;235259;177205;3046;174159;55275;47834;7134;17937;26941;;5526;1588;;219;342;;;;;;221;;73;;63;7988;473;481;;;759;;;1578;;;;;
82;Berlin-Neukölln;11;205635;140825;3102;137723;40038;36211;4122;19677;19156;;5654;2627;;216;255;;;;;;126;;143;;80;5832;617;454;;;689;;;2060;;;;;
